#id,name,trails,lifts,vertical,elevation,base,area,snowfall,city,postal code,latitude,longitude,website,wiki,region,country,continent,metric

# US Northeast
1225,Campgaw Mountain,5,5,270,720,450,18,,Mahwah,7430,41.058668,-74.195096,http://www.skicampgaw.com/,http://en.wikipedia.org/wiki/Campgaw_Mountain,New Jersey,USA,North America,FALSE
1226,Hidden Valley,13,4,620,1435,815,36,80,Vernon,7462,41.1856,-74.4806,http://www.hiddenvalleynj.com/,http://en.wikipedia.org/wiki/Hidden_Valley_%28New_Jersey%29,New Jersey,USA,North America,FALSE
1227,Mountain Creek,41,8,1040,1480,440,63,65,Vernon,7462,41.181,-74.513,http://www.mountaincreek.com/,http://en.wikipedia.org/wiki/Mountain_Creek,New Jersey,USA,North America,FALSE
1250,Belleayre Mountain,55,8,1404,3325,2541,171,141,Highmount,12441,42.142214,-74.510778,http://www.belleayre.com/,http://en.wikipedia.org/wiki/Belleayre_Mountain,New York,USA,North America,FALSE
1251,Bristol Mountain,34,6,1200,2200,1000,138,130,Canandaigua,14424,42.745,-77.404444,http://www.bristolmt.com,http://en.wikipedia.org/wiki/Bristol_Mountain,New York,USA,North America,FALSE
1252,Catamount,33,6,1000,2000,1000,119,75,Hillsdale ,12529,42.169471,-73.478023,http://www.catamountski.com/,http://en.wikipedia.org/wiki/Catamount_Ski_Area,New York,USA,North America,FALSE
1253,Gore Mountain,94,14,2537,3600,1300,347,150,North Creek,12853,43.672222,-74.006944,http://www.goremountain.com/,http://en.wikipedia.org/wiki/Gore_Mountain_%28ski_resort%29,New York,USA,North America,FALSE
1254,Greek Peak,32,6,952,2100,1148,257,122,Cortland,13045,42.508711,-76.144892,http://www.greekpeak.net/,http://en.wikipedia.org/wiki/Greek_Peak,New York,USA,North America,FALSE
1255,Hunter Mountain,55,11,1600,3200,1600,240,85,Hunter,12442,42.200278,-74.230278,http://www.huntermtn.com,http://en.wikipedia.org/wiki/Hunter_Mountain_%28ski_area%29,New York,USA,North America,FALSE
1256,Peek'n Peak,27,8,400,1800,1400,130,105,Clymer,14724,42.0625,-79.736667,http://www.pknpk.com/,http://en.wikipedia.org/wiki/Peek%27n_Peak,New York,USA,North America,FALSE
1257,Thunder Ridge,30,4,600,820,220,90,,Patterson,12563,41.508007,-73.584958,http://thunderridgeski.com/,http://en.wikipedia.org/wiki/Thunder_Ridge_Ski_Area,New York,USA,North America,FALSE
1258,Titus Mountain,26,7,570,1560,990,80,130,Malone,12953,44.763464,-74.235116,http://www.titusmountain.com/,http://en.wikipedia.org/wiki/Titus_Mountain,New York,USA,North America,FALSE
